"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 3","1 wk ahead",-1.64810586942779,11,21,0.192414020953352,"ARLR_Gaussker"
"HHS Region 4","1 wk ahead",-1.74493384517512,11,21,0.174656542957644,"ARLR_Gaussker"
"HHS Region 5","1 wk ahead",-1.54205270663226,11,21,0.213941491267953,"ARLR_Gaussker"
"HHS Region 6","1 wk ahead",-1.96436813715772,11,21,0.140244473897254,"ARLR_Gaussker"
"HHS Region 7","1 wk ahead",-2.38829930235851,11,21,0.0917856508535075,"ARLR_Gaussker"
"HHS Region 8","1 wk ahead",-2.09800802547593,11,21,0.122700601451026,"ARLR_Gaussker"
"HHS Region 9","1 wk ahead",-1.40177472463713,11,21,0.246159710351384,"ARLR_Gaussker"
"HHS Region 10","1 wk ahead",-2.39220411379324,11,21,0.0914279440378548,"ARLR_Gaussker"
"US National","2 wk ahead",-1.89042301931368,11,21,0.151007916058373,"ARLR_Gaussker"
"HHS Region 1","2 wk ahead",-1.94169927006601,11,21,0.143459965313935,"ARLR_Gaussker"
"HHS Region 2","2 wk ahead",-2.93599321816448,11,21,0.0530779751084753,"ARLR_Gaussker"
"HHS Region 3","2 wk ahead",-1.98455438413408,11,21,0.137441846740376,"ARLR_Gaussker"
"HHS Region 4","2 wk ahead",-2.11834279688816,11,21,0.120230710213592,"ARLR_Gaussker"
"HHS Region 5","2 wk ahead",-1.87143962552581,11,21,0.15390194109315,"ARLR_Gaussker"
"HHS Region 6","2 wk ahead",-2.52871771691448,11,21,0.0797612312178891,"ARLR_Gaussker"
"HHS Region 7","2 wk ahead",-2.51790847111732,11,21,0.0806280664486912,"ARLR_Gaussker"
"HHS Region 8","2 wk ahead",-2.28128441490169,11,21,0.102152915690349,"ARLR_Gaussker"
"HHS Region 9","2 wk ahead",-1.70174299396454,11,21,0.18236538511056,"ARLR_Gaussker"
"HHS Region 10","2 wk ahead",-2.42268941316245,11,21,0.0886827917853718,"ARLR_Gaussker"
"US National","3 wk ahead",-3.55083183510052,11,21,0.028700755425972,"ARLR_Gaussker"
"HHS Region 1","3 wk ahead",-2.25670666349691,11,21,0.104694712533151,"ARLR_Gaussker"
"HHS Region 2","3 wk ahead",-2.80839424863971,11,21,0.0603017442997681,"ARLR_Gaussker"
"HHS Region 3","3 wk ahead",-2.45244710106287,11,21,0.086082675537598,"ARLR_Gaussker"
"HHS Region 4","3 wk ahead",-2.54949682778676,11,21,0.0781209644119536,"ARLR_Gaussker"
"HHS Region 5","3 wk ahead",-2.36775645852587,11,21,0.0936906896071432,"ARLR_Gaussker"
"HHS Region 6","3 wk ahead",-4.3350784965388,11,21,0.013100845661589,"ARLR_Gaussker"
"HHS Region 7","3 wk ahead",-2.63629979343514,11,21,0.0716258101200099,"ARLR_Gaussker"
"HHS Region 8","3 wk ahead",-2.39832782257535,11,21,0.0908697767053804,"ARLR_Gaussker"
"HHS Region 9","3 wk ahead",-2.02021911077831,11,21,0.132626402022051,"ARLR_Gaussker"
"HHS Region 10","3 wk ahead",-2.44901196304763,11,21,0.0863788898860943,"ARLR_Gaussker"
"US National","4 wk ahead",-4.74989814759233,11,21,0.00865257644398499,"ARLR_Gaussker"
"HHS Region 1","4 wk ahead",-2.48130683675764,11,21,0.0836338583449235,"ARLR_Gaussker"
"HHS Region 2","4 wk ahead",-5.30746079165353,11,21,0.00495449124447375,"ARLR_Gaussker"
"HHS Region 3","4 wk ahead",-3.58341192285832,11,21,0.0277807505923379,"ARLR_Gaussker"
"HHS Region 4","4 wk ahead",-4.16295437746462,11,21,0.015561515349642,"ARLR_Gaussker"
"HHS Region 5","4 wk ahead",-2.66399043928455,11,21,0.0696696537866333,"ARLR_Gaussker"
"HHS Region 6","4 wk ahead",-4.51095465739733,11,21,0.0109879654246837,"ARLR_Gaussker"
"HHS Region 7","4 wk ahead",-3.10753257350168,11,21,0.0447111408006914,"ARLR_Gaussker"
"HHS Region 8","4 wk ahead",-2.64682264118916,11,21,0.070876054326273,"ARLR_Gaussker"
"HHS Region 9","4 wk ahead",-2.27099303551805,11,21,0.103209638341053,"ARLR_Gaussker"
"HHS Region 10","4 wk ahead",-2.51753477367828,11,21,0.0806582025811841,"ARLR_Gaussker"
"HHS Region 1","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 1","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 10","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 10","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 2","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 2","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 3","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 3","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 4","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 4","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
