date,flu,cough,fever,influenza,cold,isPartial,state
2017-06-11,4,10,11,2,40,False,Alaska
2017-06-18,3,5,11,2,48,False,Alaska
2017-06-25,5,9,11,2,38,False,Alaska
2017-07-02,5,7,13,2,39,False,Alaska
2017-07-09,7,3,14,2,40,False,Alaska
2017-07-16,5,6,12,0,36,False,Alaska
2017-07-23,4,6,11,0,46,False,Alaska
2017-07-30,2,8,17,2,51,False,Alaska
2017-08-06,3,10,7,2,53,False,Alaska
2017-08-13,3,5,13,2,45,False,Alaska
2017-08-20,2,6,12,2,43,False,Alaska
2017-08-27,3,9,13,0,34,False,Alaska
2017-09-03,5,4,18,2,42,False,Alaska
2017-09-10,14,12,15,2,52,False,Alaska
2017-09-17,12,10,13,2,55,False,Alaska
2017-09-24,10,14,15,2,41,False,Alaska
2017-10-01,19,7,15,4,39,False,Alaska
2017-10-08,12,11,16,2,50,False,Alaska
2017-10-15,11,8,11,0,72,False,Alaska
2017-10-22,25,10,9,3,71,False,Alaska
2017-10-29,13,11,8,3,58,False,Alaska
2017-11-05,7,11,16,3,67,False,Alaska
2017-11-12,6,9,15,2,83,False,Alaska
2017-11-19,10,7,11,2,73,False,Alaska
2017-11-26,10,4,19,2,77,False,Alaska
2017-12-03,6,13,14,2,58,False,Alaska
2017-12-10,19,16,15,4,53,False,Alaska
2017-12-17,12,11,12,2,62,False,Alaska
2017-12-24,20,20,12,2,71,False,Alaska
2017-12-31,14,13,18,4,59,False,Alaska
2018-01-07,33,9,16,2,76,False,Alaska
2018-01-14,34,5,19,4,59,False,Alaska
2018-01-21,43,10,17,4,65,False,Alaska
2018-01-28,41,10,19,8,56,False,Alaska
2018-02-04,44,13,19,3,61,False,Alaska
2018-02-11,38,11,19,4,46,False,Alaska
2018-02-18,30,7,17,2,61,False,Alaska
2018-02-25,26,10,19,8,44,False,Alaska
2018-03-04,25,8,11,5,43,False,Alaska
2018-03-11,19,9,18,4,43,False,Alaska
2018-03-18,17,8,11,3,53,False,Alaska
2018-03-25,16,10,15,8,43,False,Alaska
2018-04-01,21,13,17,6,58,False,Alaska
2018-04-08,9,7,11,3,36,False,Alaska
2018-04-15,9,8,14,7,52,False,Alaska
2018-04-22,8,8,14,2,61,False,Alaska
2018-04-29,6,19,14,2,49,False,Alaska
2018-05-06,2,17,10,0,61,False,Alaska
2018-05-13,7,11,9,3,60,False,Alaska
2018-05-20,5,11,15,2,48,False,Alaska
2018-05-27,5,5,13,0,37,False,Alaska
2018-06-03,4,8,8,2,56,False,Alaska
2018-06-10,3,8,12,0,34,False,Alaska
2018-06-17,4,6,13,0,48,False,Alaska
2018-06-24,7,7,7,0,36,False,Alaska
2018-07-01,4,5,10,0,57,False,Alaska
2018-07-08,2,5,13,2,39,False,Alaska
2018-07-15,5,6,11,2,48,False,Alaska
2018-07-22,3,5,10,2,45,False,Alaska
2018-07-29,5,5,7,0,44,False,Alaska
2018-08-05,3,6,9,2,52,False,Alaska
2018-08-12,3,3,8,2,48,False,Alaska
2018-08-19,3,7,13,2,45,False,Alaska
2018-08-26,6,8,7,2,46,False,Alaska
2018-09-02,4,5,10,3,44,False,Alaska
2018-09-09,11,8,9,2,45,False,Alaska
2018-09-16,17,11,9,3,43,False,Alaska
2018-09-23,23,16,9,5,48,False,Alaska
2018-09-30,27,8,6,2,56,False,Alaska
2018-10-07,12,11,7,4,59,False,Alaska
2018-10-14,25,6,10,2,44,False,Alaska
2018-10-21,19,10,6,2,53,False,Alaska
2018-10-28,19,10,9,1,57,False,Alaska
2018-11-04,12,10,16,1,60,False,Alaska
2018-11-11,11,10,14,2,51,False,Alaska
2018-11-18,17,13,17,3,59,False,Alaska
2018-11-25,15,8,18,2,52,False,Alaska
2018-12-02,6,12,10,0,76,False,Alaska
2018-12-09,9,15,15,0,100,False,Alaska
2018-12-16,10,13,14,0,71,False,Alaska
2018-12-23,15,11,14,0,54,False,Alaska
2018-12-30,10,10,15,2,57,False,Alaska
2019-01-06,11,15,14,0,95,False,Alaska
2019-01-13,18,14,16,2,63,False,Alaska
2019-01-20,16,12,17,3,57,False,Alaska
2019-01-27,22,13,24,5,83,False,Alaska
2019-02-03,38,11,21,3,62,False,Alaska
2019-02-10,33,13,23,10,78,False,Alaska
2019-02-17,33,12,23,5,61,False,Alaska
2019-02-24,26,13,13,9,61,False,Alaska
2019-03-03,21,17,17,4,59,False,Alaska
2019-03-10,16,12,27,4,66,False,Alaska
2019-03-17,18,14,13,2,56,False,Alaska
2019-03-24,12,9,11,2,45,False,Alaska
2019-03-31,9,8,11,2,46,False,Alaska
2019-04-07,9,7,12,4,44,False,Alaska
2019-04-14,10,16,16,2,59,False,Alaska
2019-04-21,8,11,8,2,53,False,Alaska
2019-04-28,7,12,21,0,49,False,Alaska
2019-05-05,10,9,13,2,55,False,Alaska
2019-05-12,8,4,14,2,59,False,Alaska
2019-05-19,4,7,11,2,55,False,Alaska
2019-05-26,6,10,20,0,48,False,Alaska
2019-06-02,8,11,14,2,46,False,Alaska
2019-06-09,3,9,8,0,61,False,Alaska
2019-06-16,6,5,12,0,53,False,Alaska
2019-06-23,5,7,14,2,46,False,Alaska
2019-06-30,5,3,8,0,58,False,Alaska
2019-07-07,5,10,11,2,47,False,Alaska
2019-07-14,5,2,6,0,31,False,Alaska
2019-07-21,3,5,10,2,40,False,Alaska
2019-07-28,7,5,15,0,54,False,Alaska
2019-08-04,2,4,12,2,44,False,Alaska
2019-08-11,3,3,9,2,35,False,Alaska
2019-08-18,4,10,8,0,49,False,Alaska
2019-08-25,9,11,9,3,43,False,Alaska
2019-09-01,4,12,5,2,52,False,Alaska
2019-09-08,21,11,12,5,55,False,Alaska
2019-09-15,16,10,9,2,64,False,Alaska
2019-09-22,25,11,15,5,52,False,Alaska
2019-09-29,24,12,10,3,58,False,Alaska
2019-10-06,29,9,11,4,61,False,Alaska
2019-10-13,23,9,12,4,58,False,Alaska
2019-10-20,22,10,9,5,57,True,Alaska
2014-10-26,16,10,16,1,40,False,Arizona
2014-11-02,15,9,18,1,50,False,Arizona
2014-11-09,14,9,18,1,43,False,Arizona
2014-11-16,13,11,19,1,55,False,Arizona
2014-11-23,10,10,17,1,48,False,Arizona
2014-11-30,12,13,17,1,44,False,Arizona
2014-12-07,14,12,19,2,47,False,Arizona
2014-12-14,13,12,16,1,48,False,Arizona
2014-12-21,12,16,17,1,56,False,Arizona
2014-12-28,21,17,18,2,78,False,Arizona
2015-01-04,24,16,22,3,59,False,Arizona
2015-01-11,24,17,20,3,52,False,Arizona
2015-01-18,22,17,24,4,51,False,Arizona
2015-01-25,21,18,23,4,45,False,Arizona
2015-02-01,18,17,20,3,45,False,Arizona
2015-02-08,16,16,20,3,49,False,Arizona
2015-02-15,15,16,22,1,49,False,Arizona
